IP	mask	code	opcode	oprand	ChaosDuck	FaultFinder (rehosting)	FaultFinder	Grand Truth	Type	Reason
5a4	0	e50b0010	str	"r0, [fp, #-0x10]"	-	-	-	-	-	r0 = *g_userPin
5a4	1000	e50b1010	str	"r1, [fp, #-0x10]"	o	o	o	o	-	"From storing r1 = *g_cardPin, a1 equals a2 -> Attack Possible"
5a8	0	e50b1014	str	"r1, [fp, #-0x14]"	-	-	-	-	-	r1 = *g_cardPin
5a8	1000	e50b0014	str	"r0, [fp, #-0x14]"	o	o	o	o	-	"From storing r0 = *g_userPin, a1 equals a2 -> Attack Possible"
5a8	2000	e50b3014	str	"r3, [fp, #-0x14]"	o	o	o	o	-	"r3 = r0, so a1 equals a2 -> Attack Possible"
5a8	8000	e50b9014	str	"sb, [fp, #-0x14]"	o	o		o	Initial state	Access to sb = 0x40828cd8 <_rtld_global_ro>: 0x00000000 -> Attack Possible
5ac	0	e1a03002	mov	"r3, r2"	-	-	-	-	-	r3 = r2 = PIN_SIZE
5ac	4	e1a03006	mov	"r3, r6"			o		Initial state	From r6 = 0x00401ebc -> Attack Failed
5ac	8	e1a0300a	mov	"r3, sl"	o	o	o	o	-	From sl = 0 -> Attack Possible
5ac	10	e1a03012	lsl	"r3, r2, r0"	o	o	o	o	-	"r3 = r2 << r0 -> r3 = ..., and PIN_SIZE via strb gives size = 0 -> Attack Possible"
5ac	20	e1a03022	lsr	"r3, r2, #0x20"	o	o	o	o	-	r3 = r2 >> r0 -> 0 -> Attack Possible
5ac	40	e1a03042	asr	"r3, r2, #0x20"	o	o	o	o	-	From r2 = 4 and asr = lsr -> Attack Possible
5ac	400	e1a03402	lsl	"r3, r2, #8"	o	o	o	o	-	r3 = r2 << 8 -> 0x400; PIN_SIZE via strb gives size = 0 -> Attack Possible
5ac	800	e1a03802	lsl	"r3, r2, #0x10"	o	o	o	o	-	r3 = r2 << 0x10; PIN_SIZE via strb gives size = 0 -> Attack Possible
5b0	0	e54b3015	strb	"r3, [fp, #-0x15]"	-	-	-	-	-	"Storing PIN_SIZE; if no side effect, size = 0 -> Attack Possible"
5b0	1	e54b3014	strb	"r3, [fp, #-0x14]"	o	o	o	o	-	Store to g_cardPin -> No effect
5b0	2	e54b3017	strb	"r3, [fp, #-0x17]"	o	o	o	o	-	Store to g_cardPin -> No effect
5b0	4	e54b3011	strb	"r3, [fp, #-0x11]"	o	o	o	o	-	From unused region -> No effect
5b0	8	e54b301d	strb	"r3, [fp, #-0x1d]"	o	o	o	o	-	From unused region -> No effect
5b0	10	e54b3005	strb	"r3, [fp, #-5]"	o	o	o	o	-	No effect
5b0	20	e54b3035	strb	"r3, [fp, #-0x35]"	o	o	o	o	-	From unused region -> No effect
5b0	40	e54b3055	strb	"r3, [fp, #-0x55]"	o	o	o	o	-	From unused region -> No effect
5b0	80	e54b3095	strb	"r3, [fp, #-0x95]"	o	o	o	o	-	From unused region -> No effect
5b0	100	e54b3115	strb	"r3, [fp, #-0x115]"	o	o	o	o	-	From unused region -> No effect
