IP	mask	code	opcode	oprand	ARCHIE	ARMORY	FaultFinder (rehosting)	FaultFinder	Grand Truth	Type	Reason
8000046	0	60f8	str	"r0, [r7, #0xc]"	-	-	-	-	-	-	Stack Argument r0 (g_userPin) for byteArrayCompare
8000046	1	60f9	str	"r1, [r7, #0xc]"	o	o	o	o	o	-	"Since r1 = g_cardPin, a1 = a2, Attack Possible"
8000048	0	60b9	str	"r1, [r7, #8]"	-	-	-	-	-	-	Stack Argument r1 (g_cardPin) for byteArrayCompare
8000048	1	60b8	str	"r0, [r7, #8]"	o	o	o	o	o	-	"Since r0 = g_userPin, a1 = a2, Attack Possible"
800004a	0	4613	mov	"r3, r2"	-	-	-	-	-	-	Move of PIN_SIZE (r2)
800004a	20	4633	mov	"r3, r6"	o	o	o	o	o	-	Attack Possible if r6 = 0; depends on the value of r6
800004a	40	4653	mov	"r3, sl"	o	o	o	o	o	-	Attack Possible if sl = 0; depends on the value of sl (SL: stack limit pointer)
800004a	4000	613	lsls	"r3, r2, #0x18"	o	o	o	o	o	-	"LSLS (Logical Shift Left, setting flags); since r2 = PIN_SIZE = 4, r3 = 0x4000000; loop counter is loaded with ldrb (1 byte), so only 0x00 is visible, Attack Possible"
800004c	0	71fb	strb	"r3, [r7, #7]"	-	-	-	-	-	-	Store of PIN_SIZE (r3) to Stack
800004c	8	71f3	strb	"r3, [r6, #7]"	o		o			Write attribute	"Change of Stack Store destination; depends on the value of r6, but operates normally; if [r7, #7] = 0, Attack Possible; since r6 = 0, cannot write, Attack Not Possible"
800004c	10	71eb	strb	"r3, [r5, #7]"	o		o			Write attribute	"Change of Stack Store destination; depends on the value of r5, but operates normally; if [r5, #7] = 0, Attack Possible; since r5 = 0, cannot write, Attack Not Possible"
800004c	20	71db	strb	"r3, [r3, #7]"	o		o			Write attribute	"Change of Stack Store destination; depends on the value of r3, but operates normally; if [r7, #7] = 0, Attack Possible; since r3 = g_ptc = 3, cannot write, Attack Not Possible"
800004c	40	71bb	strb	"r3, [r7, #6]"	o	o	o	o	o	-	"Change of Stack Store destination; operates normally; if [r7, #7] = 0, Attack Possible"
800004c	80	717b	strb	"r3, [r7, #5]"	o	o	o	o	o	-	"Change of Stack Store destination; operates normally; since [r7, #7] = 0, Attack Possible"
800004c	100	70fb	strb	"r3, [r7, #3]"	o	o	o	o	o	-	"Change of Stack Store destination; operates normally; if [r7, #7] = 0, Attack Possible"
800004c	200	73fb	strb	"r3, [r7, #0xf]"	o	o	o	o	o	-	"Change of Stack Store destination; operates normally; if [r7, #7] = 0, Attack Possible"
800004c	400	75fb	strb	"r3, [r7, #0x17]"	o	o	o	o	o	-	"Change of Stack Store destination; operates normally; if [r7, #7] = 0, Attack Possible"
800004c	800	79fb	ldrb	"r3, [r7, #7]"	o	o	o	o	o	-	"LDRB (Load Register Byte): loads 1 byte, zero-extended; not actually stored, effectively NOP"
800004c	1000	61fb	str	"r3, [r7, #0x1c]"	o	o	o	o	o	-	"Change of Stack Store destination; operates normally; if [r7, #7] = 0, Attack Possible"
800004c	4000	31fb	adds	"r1, #0xfb"	o	o	o	o	o	-	"Since r1 is the nearest ldr of 005e, effect is equivalent to NOP"
800004e	0	2300	movs	"r3, #0"	-	-	-	-	-	-	Initialization of loop counter
800004e	4	2304	movs	"r3, #4"	o	o	o	o	o	-	Attack Possible since it is greater than or equal to PIN_SIZE.
800004e	8	2308	movs	"r3, #8"	o	o	o	o	o	-	Immediately terminates since it is greater than or equal to PIN_SIZE.
800004e	10	2310	movs	"r3, #0x10"	o	o	o	o	o	-	Attack Possible since it is greater than or equal to PIN_SIZE.
800004e	20	2320	movs	"r3, #0x20"	o	o	o	o	o	-	Immediately terminates since it is greater than or equal to PIN_SIZE.
800004e	40	2340	movs	"r3, #0x40"	o	o	o	o	o	-	Attack Possible since it is greater than or equal to PIN_SIZE.
800004e	80	2380	movs	"r3, #0x80"	o	o	o	o	o	-	Immediately terminates since it is greater than or equal to PIN_SIZE.
800004e	100	2200	movs	"r2, #0"	o	o	o	o	o	-	"Equivalent to NOP; since r3 = PIN_SIZE, Attack Possible"
800004e	200	2100	movs	"r1, #0"	o	o	o	o	o	-	"Equivalent to NOP; since r3 = PIN_SIZE, Attack Possible"
800004e	800	2b00	cmp	"r3, #0"	o	o	o	o	o	-	"Equivalent to NOP; since r3 = PIN_SIZE, Attack Possible"
800004e	1000	3300	adds	"r3, #0"	o	o	o	o	o	-	"Equivalent to NOP; since r3 = r3 + 0, effectively NOP; since r3 = PIN_SIZE, Attack Possible"
800004e	2000	300	lsls	"r0, r0, #0xc"	o	o	o	o	o	-	"Equivalent to NOP; since r3 = PIN_SIZE, Attack Possible"
800004e	4000	6300	str	"r0, [r0, #0x30]"	o	o	o	o	o	-	"Store to [r0, #0x30]; since r0 = g_userPin, no impact. Thus, equivalent to NOP and Attack Possible"
800004e	8000	a300	adr	"r3, #0"	o	o	o	o	o	-	"ADR (Address Register): r3 = PC + #0, so larger than PIN_SIZE, Attack Possible"
8000050	0	617b	str	"r3, [r7, #0x14]"	-	-	-	-	-	-	Store loop counter to stack
8000050	1	617a	str	"r2, [r7, #0x14]"	o	o	o	o	o	-	"Since r2 = PIN_SIZE, Attack Possible"
8000050	2	6179	str	"r1, [r7, #0x14]"	o	o	o	o	o	-	"Since r1 = g_cardPin, Attack Possible because greater than PIN_SIZE"
8000050	4	617f	str	"r7, [r7, #0x14]"	o	o	o	o	o	-	"Since r7 = sp >= PIN_SIZE, Attack Possible"
8000050	100	607b	str	"r3, [r7, #4]"	o	o	o	o	o	-	"Change save destination; since [r7+7] is PIN_SIZE, overwriting 4 bytes at [r7+4] will zero up to [r7+7]; initial value of [r7+0x14] is 0, i = PIN_SIZE = 0, so Attack Possible"
8000052	0	e00e	b	#0x1020	-	-	-	-	-	-	Jump to 8000072 (i < PIN_SIZE check)
8000052	1	e00f	b	#0x1022	o	o	o	o	o	-	"Jump to 8000074; skip loading PIN_SIZE to r3; since loop counter r3=0, Attack Possible"
8000052	80	e08e	b	#0x1120	o	o	o	o	o	-	Jump to 8000172; jump to data area immediately before super_secret; Attack Possible
8000052	8000	600e	str	"r6, [r1]"	o	o	o	o	o	-	"Write r6 to *g_cardPin (1234); at main, r6=0, so cardPin=0=userPin, Attack Possible"
8000056	0	68fa	ldr	"r2, [r7, #0xc]"	-	-	-	-	-	-	Load a1 (g_userPin) to r2
8000056	40	68ba	ldr	"r2, [r7, #8]"	o	o	o	o	o	-	Load a2 (g_cardPin) to r2; Attack Possible (repeated)
800005a	0	781a	ldrb	"r2, [r3]"	-	-	-	-	-	-	Load a1[i] to r2
800005a	100	791a	ldrb	"r2, [r3, #4]"	o	o	o	o	o	-	"a1[i+4] = a2[i], so a1 equals a2, Attack Possible (repeated)"
800005c	0	697b	ldr	"r3, [r7, #0x14]"	-	-	-	-	-	-	Load i to r3
800005c	2	6979	ldr	"r1, [r7, #0x14]"	o		o		o	Initial state	"Equivalent to NOP; since r3 = *a1[i], accesses invalid address (a1+a2+i) = 0x4000_000c; access to peripheral region possible"
800005c	200	6b7b	ldr	"r3, [r7, #0x34]"	o	o	o		o	Initial state	"Load value to r3; access to 0x20001ffc, contains 0xffffffff; this is lr of push {r7, lr} in reset_handler; lr retains 0xFFFFFFFF at reset by design"
800005c	800	617b	str	"r3, [r7, #0x14]"	o		o		o	Initial state	"Since r3 = *a1[i], this value goes into i; accesses address (a1+a2+i) = 0x4000_000c[i]; access to peripheral region possible"
800005c	2000	497b	ldr	"r1, [pc, #0x1ec]"	o		o		o	Initial state	"Equivalent to NOP; since r3 = *a1[i], accesses invalid address (a1+a2+i); access to peripheral region possible"
800005c	4000	297b	cmp	"r1, #0x7b"	o		o		o	Initial state	"Equivalent to NOP; since r3 = *a1[i], accesses invalid address (a1+a2+i); access to peripheral region possible"
800005e	0	68b9	ldr	"r1, [r7, #8]"	-	-	-	-	-	-	Load g_cardPin to r1
800005e	2	68bb	ldr	"r3, [r7, #8]"	o		o		o	Initial state	"r1 = *a2 = *g_cardPin; since r3 = *g_cardPin, subsequently r3 = r3 + r1 == a2[a2] = 0x4000_0010, accesses peripheral region"
