IP	reg	mask	opcode	oprand	ARCHIE	ARMORY	FaultFinder (rehosting)	FaultFinder	Grand Truth	Type	Reason
8000048		org	str	"r1, [r7, #8] ; a2 (g_cardPin)"	-	-	-	-	-	-	Stack Argument r1 (g_cardPin=20000008) for byteArrayCompare
8000048	R1	0x10	str	"r1, [r7, #8] ; a2 (g_cardPin)"	o		o	o	o	Initial state	0x20000018; Set to 0 Attack Possible
8000048	R1	0x100	str	"r1, [r7, #8] ; a2 (g_cardPin)"	o	o	o	o	o	-	
8000048	R1	0x1000	str	"r1, [r7, #8] ; a2 (g_cardPin)"	o	o	o	o	o	-	
8000048	R1	0x20	str	"r1, [r7, #8] ; a2 (g_cardPin)"	o	o	o	o	o	-	
8000048	R1	0x200	str	"r1, [r7, #8] ; a2 (g_cardPin)"	o	o	o	o	o	-	
8000048	R1	0x2000000	str	"r1, [r7, #8] ; a2 (g_cardPin)"	o		o		o	Initial state	"0x22000008 is written, and read from [0x2200_0008]. Bit-band region. (>> 1) & 0b1 = (0x300>>1)&0b1=0; if i has an offset, behavior is unpredictable, but in terms of bitband calculation, this is equivalent to access to 0x2200_0008."
8000048	R1	0x20000000	str	"r1, [r7, #8] ; a2 (g_cardPin)"	o		o		o	Initial state	[r7+8]=0x2000_0008 ^ 0x2000_0000=0x08; [0x08]=0x0000_0000 Attack Possible
8000048	R1	0x4	str	"r1, [r7, #8] ; a2 (g_cardPin)"	o		o	o	o	Initial state	
8000048	R1	0x40	str	"r1, [r7, #8] ; a2 (g_cardPin)"	o	o	o	o	o	-	
8000048	R1	0x400	str	"r1, [r7, #8] ; a2 (g_cardPin)"	o	o	o	o	o	-	
8000048	R1	0x80	str	"r1, [r7, #8] ; a2 (g_cardPin)"	o	o	o	o	o	-	
8000048	R1	0x800	str	"r1, [r7, #8] ; a2 (g_cardPin)"	o	o	o	o	o	-	
8000048	R7	0x1	str	"r1, [r7, #8] ; a2 (g_cardPin)"	o		o		o	Invalid access	Store destination is shifted by 1; 0x20001fd0: 20 |00000800| 00; then load data from [0x0000_0800]=0000 not [0x2000_1fd0]=1234 (g_cardPin). Some tools treat MEM[0x1000<] as non-mapped regions.
800004a		org	mov	"r3, r2"	-	-	-	-	-	-	Move of PIN_SIZE (r2)=0x4
800004a	R2	0x4	mov	"r3, r2"	o	o	o	o	o	-	r3=0 Attack Possible
800004a	R3	0x4	mov	"r3, r2"	o					Tool dependent	"Effectively instruction is skipped by revert, Attack Not Possible; or overwritten afterwards, Attack Not Possible"
800004c		org	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	-	-	-	-	-	-	"Store of PIN_SIZE (r3)=0x4 to Stack; r7=0x20001fc8; If Stack is not used after this and writable, Attack Possible"
800004c	R3	0x4	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	o	o	o	o	o	-	r3=0 Attack Possible
800004c	R7	0x1	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	o	o	o	o	o	-	"From g_cardPin Lsbyte=0x08->0x04, g_cardPin=g_userPin; and PIN_SIZE=0, Attack Possible"
800004c	R7	0x10	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	o	o	o	o	o	-	
800004c	R7	0x100	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	o	o	o	o	o	-	
800004c	R7	0x1000	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	o	o	o	o	o	-	
800004c	R7	0x2	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	o	o	o	o	o	-	
800004c	R7	0x200	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	o	o	o	o	o	-	
800004c	R7	0x2000000	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	o		o		o	Initial state	"0x2200_1fc8; In bit-band, unpredictable, but if calculated according to the rules, bit 2 of 0x200000FE is set to 0; originally zero, so no change."
800004c	R7	0x20000000	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	o		o			Write attribute	"Write to 0x0000_1fc8; since there is no write attribute, Attack Not Possible"
800004c	R7	0x4	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	o	o	o	o	o	-	
800004c	R7	0x40	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	o	o	o	o	o	-	
800004c	R7	0x400	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	o	o	o	o	o	-	
800004c	R7	0x8	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	o	o	o	o	o	-	
800004c	R7	0x80	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	o	o	o	o	o	-	
800004c	R7	0x800	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"	o	o	o	o	o	-	
800004e		org	movs	"r3, #0"	-	-	-	-	-	-	Initialization of loop counter
800004e	R3	0x4	movs	"r3, #0"	o					Tool dependent	
8000050		org	str	"r3, [r7, #20] ; i = 0"	-	-	-	-	-	-	Store of loop counter to Stack; Attack Possible if r3 >= 4
8000050	R3	0x10	str	"r3, [r7, #20] ; i = 0"	o	o	o	o	o	-	
8000050	R3	0x100	str	"r3, [r7, #20] ; i = 0"	o	o	o	o	o	-	
8000050	R3	0x1000	str	"r3, [r7, #20] ; i = 0"	o	o	o	o	o	-	
8000050	R3	0x10000	str	"r3, [r7, #20] ; i = 0"	o	o	o	o	o	-	
8000050	R3	0x100000	str	"r3, [r7, #20] ; i = 0"	o	o	o	o	o	-	
8000050	R3	0x1000000	str	"r3, [r7, #20] ; i = 0"	o	o	o	o	o	-	
8000050	R3	0x10000000	str	"r3, [r7, #20] ; i = 0"	o	o	o	o	o	-	
8000050	R3	0x20	str	"r3, [r7, #20] ; i = 0"	o	o	o	o	o	-	
8000050	R3	0x200	str	"r3, [r7, #20] ; i = 0"	o	o	o	o	o	-	
8000050	R3	0x2000	str	"r3, [r7, #20] ; i = 0"	o	o	o	o	o	-	
8000050	R3	0x20000	str	"r3, [r7, #20] ; i = 0"	o	o	o	o	o	-	
