IP	code	opcode	oprand	comment	FaultARM	fault-injection-simulation	ARCHIE	ARMORY	FaultFinder (rehosting)	FaultFinder	Grand Truth	Type	Reason
08000000 <vector_table>:													
 8000000:	20002000	andcs	"r2, r0, r0"										
 8000004:	080001a9 	stmdaeq	"r0, {r0, r3, r5, r7, r8}"										
08000040 <byteArrayCompare>:													
 8000040:	b480      	push	{r7}										
 8000042:	b087      	sub	"sp, #28"										
 8000044:	af00      	add	"r7, sp, #0"										
 8000046:	60f8      	str	"r0, [r7, #12] ; a1 (g_userPin)"			o						Unexplainable	byteArrayCompare: Skipping local store of argument g_userPin. It is unlikely that it matches g_cardPin in this case.
 8000048:	60b9      	str	"r1, [r7, #8] ; a2 (g_cardPin)"			o						Initial state	"byteArrayCompare: Skipping local store of argument g_cardPin. If the stack is zero-initialized, g_cardPin would not be set and 0x0 would be referenced; if that address holds 0, it matches g_userPin and may reach the secret. However, QEMU execution shows initial_sp_value = 0x20002000, resulting in a mismatch."
 800004a:	4613	mov	"r3, r2"										
 800004c:	71fb      	strb	"r3, [r7, #7] ; a3 (PIN_SIZE)"			o	o	o	o	o	o	-	"Skipping store of PIN_SIZE. Depending on the stack state, it is True if zero-initialized."
 800004e:	2300	movs	"r3, #0"			o	o	o	o	o	o	-	"At i = 0, mov 0 is skipped. Since R3 = PIN_SIZE, if (PIN_SIZE < PIN_SIZE) is False."
 8000050:	617b      	str	"r3, [r7, #20] ; i = 0"			o						Unexplainable	"byteArrayCompare: Skipping i = 0. Depending on the stack state, if PIN_SIZE == 0, the loop is not entered."
 8000052:	e00e      	b.n	8000072 <byteArrayCompare+0x32>										
 -- a1 vs. a2													
 8000054:	697b      	ldr	"r3, [r7, #20] ; i"										
 8000056:	68fa      	ldr	"r2, [r7, #12] ; a1"			o						Unexplainable	"In a1 vs. a2, skipping load of a1. R2 represents size, so it becomes size[i]. It is unlikely that this value matches a2 (cardPin)."
 8000058:	4413	add	"r3, r2"			o						Unexplainable	"In a1 vs. a2, skipping calculation of a1[i]. It becomes a1[0] vs. a2[i], but since a1 is userPin, it is False."
 800005a:	781a      	ldrb	"r2, [r3, #0] ; r2 = a1[i]"			o						Unexplainable	"In a1 vs. a2, skipping load of i from a2. r3 = *(a2 + a1)[i], resulting in abnormal comparison."
 800005c:	697b      	ldr	"r3, [r7, #20] ; i"				o		o		o	Initial state	"r3 remains g_userPin (0x20000004). Then g_cardPin (0x20000008) is added, accessing 0x4000000c. Since this is the Timer region, QEMU returns 0, so it matches g_userPin and Attack Possible."
 800005e:	68b9      	ldr	"r1, [r7, #8]"										
 8000060:	440b      	add	"r3, r1"			o						Initial state	"In a1 vs. a2, skipping calculation of a2[i]. Since a1[i] is compared with [0] = 0x20002000 (initial SP), Attack Failed."
