IP	code	opcode	oprand	comment	ChaosDuck	FaultFinder (rehosting)	FaultFinder	FaultInjectionSimulator	FaultARM	Grand Truth	Type	Reason
0000000000001149 <countermeasure>:												
    1149:	f3 0f 1e fa          	endbr64										
    114d:	55	push	%rbp									
    114e:	48 89 e5             	mov	"%rsp,%rbp"									
    1151:	c6 05 bb 2e 00 00 01 	movb	"$0x1,0x2ebb(%rip) "	 # 4013 <g_countermeasure>								
    1158:	90	nop										
    1159:	5d                   	pop	%rbp									
    115a:	c3                   	ret										
000000000000115b <initialize>:												
    115b:	f3 0f 1e fa          	endbr64										
    115f:	55	push	%rbp									
    1160:	48 89 e5             	mov	"%rsp,%rbp"									
    1163:	c6 05 a7 2e 00 00 00 	movb	"$0x0,0x2ea7(%rip)"	        # 4011 <g_authenticated>								
    116a:	c6 05 a1 2e 00 00 03 	movb	"$0x3,0x2ea1(%rip)"	        # 4012 <g_ptc>								
    1171:	c6 05 9b 2e 00 00 00 	movb	"$0x0,0x2e9b(%rip)"	        # 4013 <g_countermeasure>								
    1178:	c7 45 fc 00 00 00 00 	movl	"$0x0,-0x4(%rbp)"		o	o	o		o	o	Initial state	"Skipping i = 0 in init. Depends on stack state; if ≥ PIN_SIZE and g_cardPin is zero-initialized, secret is reached."
    117f:	eb 19                	jmp	119a <initialize+0x3f>									
    1181:	8b 45 fc             	mov	"-0x4(%rbp),%eax"									
    1184:	8d 48 01             	lea	"0x1(%rax),%ecx"					o			Initial state	"Skipping ecx = i + 1 in init. Traced back to _start, xor %ecx, %ecx puts 0. Later modified in __libc_start_main, which is library-dependent. Currently, ecx holds non-zero."
    1187:	8b 45 fc             	mov	"-0x4(%rbp),%eax"									
    118a:	48 98                	cltq										
    118c:	48 8d 15 85 2e 00 00 	lea	"0x2e85(%rip),%rdx"	        # 4018 <g_cardPin>	o	o	o	o		o	FaultARM	"Skipping load of g_card_Pin. Traced back to <_start>, %rdx keeps initial value = pointer to envp (environment variables). Valid access -> no segfault -> g_cardPin remains in initial state."
    1193:	88 0c 10             	mov	"%cl,(%rax,%rdx,1)"		o	o	o	o		o	FaultARM	Skipping assignment of i + 1 to g_card_Pin -> Attack Possible under Permanent.
    1196:	83 45 fc 01          	addl	"$0x1,-0x4(%rbp)"									
    119a:	83 7d fc 03          	cmpl	"$0x3,-0x4(%rbp)"								Initial state	Check i < 4 before g_cardPin assignment in init. Jle means ZF
    119e:	7e e1                	jle	1181 <initialize+0x26>		o	o	o	o		o	FaultARM	Skipping i < PIN_SIZE for g_cardPin. Exits on first pass -> exit with 1.
    11a0:	c7 45 fc 00 00 00 00 	movl	"$0x0,-0x4(%rbp)"						o			
    11a7:	eb 14                	jmp	11bd <initialize+0x62>									
    11a9:	8b 45 fc             	mov	"-0x4(%rbp),%eax"									
    11ac:	48 98                	cltq										
    11ae:	48 8d 15 5f 2e 00 00 	lea	"0x2e5f(%rip),%rdx  "	      # 4014 <g_userPin>	o	o	o	o		o	FaultARM	"Skipping load of g_userPin. edx contains prior g_cardPin, which is zero-initialized. If g_userPin is also zero-initialized -> secret reachable."
    11b5:	c6 04 10 00          	movb	"$0x0,(%rax,%rdx,1)"									
    11b9:	83 45 fc 01          	addl	"$0x1,-0x4(%rbp)"									
    11bd:	83 7d fc 03          	cmpl	"$0x3,-0x4(%rbp)"						o			FaultARM
    11c1:	7e e6                	jle	11a9 <initialize+0x4e>									
    11c3:	90	nop										
    11c4:	90	nop										
    11c5:	5d                   	pop	%rbp									
    11c6:	c3                   	ret										
00000000000011c7 <oracle>:												
    11c7:	f3 0f 1e fa          	endbr64										
    11cb:	55	push	%rbp									
    11cc:	48 89 e5             	mov	"%rsp,%rbp"									
    11cf:	0f b6 05 3d 2e 00 00 	movzbl	"0x2e3d(%rip),%eax"	        # 4013 <g_countermeasure>								
    11d6:	3c 01                	cmp	"$0x1,%al"									
    11d8:	74 12                	je	11ec <oracle+0x25>						o			FaultARM
    11da:	0f b6 05 30 2e 00 00 	movzbl	"0x2e30(%rip),%eax"	        # 4011 <g_authenticated>								
    11e1:	3c 01                	cmp	"$0x1,%al"									
    11e3:	75 07                	jne	11ec <oracle+0x25>									
    11e5:	b8 01 00 00 00       	mov	"$0x1,%eax"									
    11ea:	eb 05                	jmp	11f1 <oracle+0x2a>									
    11ec:	b8 00 00 00 00       	mov	"$0x0,%eax"									
    11f1:	5d                   	pop	%rbp									
    11f2:	c3                   	ret										
00000000000011f3 <oracle_ptc>:												
    11f3:	f3 0f 1e fa          	endbr64										
    11f7:	55	push	%rbp									
    11f8:	48 89 e5             	mov	"%rsp,%rbp"									
    11fb:	0f b6 05 11 2e 00 00 	movzbl	"0x2e11(%rip),%eax"	        # 4013 <g_countermeasure>								
    1202:	3c 01                	cmp	"$0x1,%al"									
    1204:	74 12                	je	1218 <oracle_ptc+0x25>									
    1206:	0f b6 05 05 2e 00 00 	movzbl	"0x2e05(%rip),%eax "	       # 4012 <g_ptc>								
    120d:	3c 02                	cmp	"$0x2,%al"									
    120f:	7e 07                	jle	1218 <oracle_ptc+0x25>									
